"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-miR-135a-3p",54.9630552311844,33.6360074502165,15.7935095366308,1.46937326716016e-38,3.74690183125842e-35,71.7294835358613
"hsa-miR-132-5p",12.191746041979,11.1466122121212,13.7974334573127,5.82924585087855e-32,5.62944867600849e-29,58.1838106803721
"hsa-miR-548g-3p",11.9837159067466,11.6450285497836,13.7806169085353,6.62288079530411e-32,5.62944867600849e-29,58.0692840015582
"hsa-miR-4673",24.2069343364318,19.7937961038961,13.6720814016684,1.5089794938938e-31,9.619744273573e-29,57.3301397128655
"hsa-miR-150-3p",32.2984676305097,22.4194767792208,13.4468628144035,8.31630454325695e-31,4.24131531706104e-28,55.7966695196861
"hsa-miR-664a-5p",11.7331752889055,10.8080986147186,13.1940258406415,5.62920554137618e-30,2.39241235508488e-27,54.0761608811772
"hsa-miR-3180-5p",16.4015829215892,14.5403928181818,13.0313467410961,1.92203331020351e-29,7.00169277288422e-27,52.9700530715977
"hsa-miR-3646",18.1725829862819,14.7210706796537,13.0007947375201,2.42002147655321e-29,7.71381845651337e-27,52.762418705442
"hsa-miR-718",31.5577481077961,25.7459223636364,12.8502446249704,7.5227213227754e-29,2.1314377081197e-26,51.7397960734661
"hsa-miR-1908-3p",23.5378901821589,18.5035377748918,12.7520283857997,1.57484938441746e-28,4.01586593026452e-26,51.0731862411963
"hsa-miR-4719",13.0160666188156,8.15079783116883,12.5783435637848,5.803247430185e-28,1.34529826790652e-25,49.8955515295569
"hsa-miR-1199-3p",14.2536709656672,13.3237595670996,12.4393453414268,1.64441755231326e-27,3.49438729866567e-25,48.954352453857
"hsa-miR-1537-3p",10.5351659365817,10.9215987142857,12.4204966049781,1.89357019126344e-27,3.71431075978597e-25,48.8268160976303
"hsa-miR-1471",13.9355004565967,12.8268156839827,12.3980836253985,2.23930974450246e-27,4.07874274891519e-25,48.67519370853
"hsa-miR-555",11.3140017930285,11.3757870865801,11.9808372134913,5.02597263681133e-26,8.54415348257927e-24,45.8594042626489
"hsa-miR-1324",10.6658022889055,10.5573967835498,11.9017614656185,9.04019847019124e-26,1.44078163118673e-23,45.3274159004463
"hsa-miR-1249-3p",29.5170221356822,22.847168987013,11.839964040379,1.42942926754953e-25,2.1441439013243e-23,44.9120817454815
"hsa-miR-3614-5p",18.0821554957271,15.3073101082251,11.8293384748449,1.54650973088857e-25,2.19088878542547e-23,44.8407060356409
"hsa-miR-1910-5p",17.9311999863568,15.5336956969697,11.8142029732587,1.7299840516103e-25,2.3218207008454e-23,44.7390548743345
"hsa-miR-4260",15.2862852784108,14.5941585411255,11.7178586228249,3.52882961874274e-25,4.47737498717564e-23,44.0925461269159
"hsa-miR-517c-3p",11.305993444078,11.7994620562771,11.7119173131109,3.68724998943876e-25,4.47737498717564e-23,44.0527092443244
"hsa-miR-1181",24.8995601776612,21.0630196320346,11.6965976681608,4.12922642160154e-25,4.78614880685633e-23,43.9500073374644
"hsa-miR-1199-5p",18.5759216108696,16.3784245670996,11.6750345294903,4.84223791954667e-25,5.36856812819305e-23,43.8054921476246
"hsa-miR-5007-5p",13.9454346821589,8.80437413419913,11.5718585287788,1.03661145335124e-24,1.10139966918569e-22,43.1147201201811
"hsa-miR-30c-2-3p",11.7594194792354,12.3882484372294,11.5560398010453,1.16475312906308e-24,1.18804819164434e-22,43.0089187458683
