"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-miR-135a-3p",55.8294411752137,32.9878139264069,15.9085294577753,6.11178849524342e-39,1.55850606628707e-35,72.1268059125315
"hsa-miR-4673",27.7510514383716,17.9456095887446,15.5228324513264,1.15116086864855e-37,1.4677301075269e-34,69.5439171712643
"hsa-miR-422a",38.1820545272155,26.8448047878788,15.0770823693582,3.43384566844144e-36,2.91876881817522e-33,66.5474077897301
"hsa-miR-718",35.0276336491228,24.026451008658,14.4082420840109,5.60037205949894e-34,3.45486952674704e-31,62.0340092540261
"hsa-miR-342-5p",18.0715104109312,11.8540693160173,14.3832412556377,6.77425397401381e-34,3.45486952674704e-31,61.8650135123635
"hsa-miR-29b-1-5p",14.7865233412056,9.32677708225108,14.3361896565466,9.69128560304003e-34,4.11879638129201e-31,61.5469221396232
"hsa-miR-339-3p",14.8346355195682,10.8167816320346,14.2884632117049,1.3935009267136e-33,5.07632480445667e-31,61.2242170157486
"hsa-miR-299-5p",16.4714597073774,12.6167567965368,14.209899973279,2.5332818212066e-33,8.07483580509603e-31,60.6929050919326
"hsa-miR-3619-5p",14.4210774554656,11.3773553246753,14.0875623525087,6.42287596591661e-33,1.74351886315045e-30,59.8653396954297
"hsa-miR-151a-5p",13.546230274404,10.5604626363636,14.0793373941299,6.83732887509982e-33,1.74351886315045e-30,59.8096932440729
"hsa-miR-517c-3p",13.1886534806568,10.8549336017316,13.928356721982,2.153760638182e-32,4.99280875214918e-30,58.7880927819326
"hsa-miR-548g-3p",12.8268523879892,11.1993013116883,13.8844996835112,3.00520282811777e-32,6.38605600975026e-30,58.4913019453456
"hsa-miR-3646",19.7972112393162,13.9762699393939,13.8619117249155,3.56757775836246e-32,6.99794098755713e-30,58.3384399806058
"hsa-miR-6763-3p",19.136628134278,15.4865966493507,13.8031561911781,5.57333408178549e-32,1.01514299346807e-29,57.9408087018476
"hsa-miR-4260",17.9058485537562,13.3118697575758,13.7749352855659,6.90473149769693e-32,1.17380435460848e-29,57.7498196651422
"hsa-miR-3180-5p",17.5178165877193,13.9249090952381,13.6935948003887,1.27996104262198e-31,2.03993791167878e-29,57.1993375489347
"hsa-miR-150-3p",33.1010087363923,21.8263289307359,13.6217454154824,2.20723380674072e-31,3.31085071011108e-29,56.7131033657855
"hsa-miR-499a-5p",13.136028734143,11.0377962900433,13.572993355098,3.19415043832249e-31,4.5250464542902e-29,56.3831950752246
"hsa-miR-302f",13.0447902098515,10.6129473506494,13.5255406602969,4.57645177538156e-31,6.086477613452e-29,56.0620982854382
"hsa-miR-3614-5p",20.4597265488079,14.2110905714286,13.518012075025,4.84508446549278e-31,6.086477613452e-29,56.0111568227686
"hsa-miR-1263",14.4771444689609,10.87307204329,13.5135310902018,5.01239332872518e-31,6.086477613452e-29,55.9808369446151
"hsa-miR-1471",15.7800001068376,11.8876960865801,13.450267182245,8.09369889712701e-31,9.38133281257903e-29,55.5527966062517
"hsa-miR-296-3p",22.8513786992802,19.4614603203463,13.4288835569634,9.51618676819358e-31,1.05505548951711e-28,55.4081278201212
"hsa-miR-132-5p",12.5637333506523,10.9531836839827,13.3883380739911,1.29346514361163e-30,1.37430671508735e-28,55.1338399846208
"hsa-miR-92b-3p",16.3510855580297,12.9292642294372,13.3428062857292,1.82550928479727e-30,1.82294626286239e-28,54.8258522478059
"hsa-miR-1249-3p",32.9830511043635,21.0073394718615,13.3404252771025,1.85869030723224e-30,1.82294626286239e-28,54.8097475568544
"hsa-miR-548n",14.4262544408457,10.691466004329,13.2743368221365,3.0639350413885e-30,2.84447851349625e-28,54.3627818216555
"hsa-miR-664a-5p",12.3442887017544,10.5282223679654,13.2717966014585,3.12334895599588e-30,2.84447851349625e-28,54.3456037345222
"hsa-miR-1181",28.2762674705353,19.3106328441558,13.263438558924,3.32707986042692e-30,2.92553573934091e-28,54.2890839718515
"hsa-miR-1910-5p",19.9802493556005,14.4835643549784,13.2565177079267,3.50578659610861e-30,2.97991860669231e-28,54.242284121937
"hsa-miR-1199-3p",15.8430098189384,12.4451526580087,13.2194326387456,4.6399850175592e-30,3.81676186928257e-28,53.9915278321183
"hsa-miR-18a-3p",15.0544462586595,11.6632415194805,13.176892925327,6.39881370995811e-30,5.09905467512287e-28,53.7039300155597
"hsa-miR-148a-5p",12.784303797121,10.8558694372294,13.1581235046907,7.37340356827834e-30,5.69763003003326e-28,53.5770505434388
"hsa-miR-1250-5p",13.8845558322087,10.2823409134199,13.1395248305035,8.4852601316801e-30,6.36394509876008e-28,53.4513346494571
"hsa-miR-1908-3p",24.4185740854701,17.9779155454545,13.1310195925491,9.04806247682149e-30,6.59215980454137e-28,53.3938475203879
"hsa-miR-6795-3p",14.9628233169141,12.5070534891775,13.040192811514,1.79574125758844e-29,1.23898274451458e-27,52.780079856946
"hsa-miR-302d-5p",13.2395938823662,10.3129489177489,13.0400453621723,1.79773966851135e-29,1.23898274451458e-27,52.7790836670174
"hsa-miR-1273c",18.2131703949618,13.1954208008658,13.0218558209985,2.06209891537855e-29,1.38377690374087e-27,52.6561978582717
"hsa-miR-3925-3p",12.809051520018,10.3271321385281,12.9696664838299,3.05631846544905e-29,1.96526386238254e-27,52.3036768108897
"hsa-miR-18b-3p",15.4318507775529,12.0611062207792,12.9667023960864,3.12536891622288e-29,1.96526386238254e-27,52.2836582843449
"hsa-miR-96-3p",13.8321866704903,10.7407332467532,12.965247225797,3.15983601402683e-29,1.96526386238254e-27,52.2738306326415
"hsa-miR-30c-2-3p",13.4550381414755,11.5194812640693,12.9305588225982,4.10381913884823e-29,2.49160447715786e-27,52.0395816718567
"hsa-miR-3142",12.984056051282,10.5499797445887,12.9227657312646,4.35197403937851e-29,2.58082181405004e-27,51.9869615179469
"hsa-miR-1245a",13.9405283301844,11.7158721991342,12.8733792566421,6.31276897390255e-29,3.6585365644208e-27,51.6535512672288
"hsa-miR-548o-3p",13.4358939145299,10.0424906883117,12.8653263144358,6.70734577261043e-29,3.80082927114591e-27,51.5991947311512
"hsa-miR-4749-3p",17.6387228301844,16.4972811991342,12.858315035398,7.0708808558096e-29,3.91972743093793e-27,51.5518714780302
"hsa-miR-3136-5p",13.1151029460189,10.7091392510823,12.8527835642107,7.37151723334973e-29,3.99944020107273e-27,51.5145377526366
"hsa-miR-4771",15.1126941351777,13.3968061731602,12.8235341190864,9.1866821339169e-29,4.88042488364335e-27,51.3171449476787
"hsa-miR-1200",15.6231821131354,11.9540238787879,12.8183001388175,9.55569778540623e-29,4.9668429900714e-27,51.2818267572183
"hsa-miR-6501-5p",15.6975085425101,14.224788987013,12.8157760611411,9.7389078236694e-29,4.9668429900714e-27,51.2647950462401
"hsa-miR-559",12.3299422872245,10.6749315021645,12.8127136496396,9.96590773425758e-29,4.98295386712879e-27,51.2441311933929
"hsa-miR-3691-3p",14.6349471376518,11.442991991342,12.8080630655339,1.03207724348723e-28,5.06114802094699e-27,51.2127518081093
"hsa-miR-143-5p",13.4355158621233,10.6710682510823,12.6996006998188,2.33267295004096e-28,1.12232377784989e-26,50.4811914295169
"hsa-miR-518d-3p",12.1414992336932,12.0467120735931,12.6917663463091,2.47408725000862e-28,1.16831897917074e-26,50.4283717062514
"hsa-miR-185-3p",14.7427296968061,12.7140813506494,12.6521780933557,3.33073215199443e-28,1.54424854319742e-26,50.1615122392659
"hsa-miR-4655-3p",15.1822511264058,11.2637853463203,12.6213541512726,4.19789047653344e-28,1.91153941342148e-26,49.9537878153093
"hsa-miR-1193",24.4466431662168,15.3345365367965,12.616854201063,4.34208427607121e-28,1.91657754370166e-26,49.9234665735727
"hsa-miR-510-5p",11.7695572116509,10.274165047619,12.6163277185054,4.35927441312535e-28,1.91657754370166e-26,49.9199191372489
"hsa-miR-193a-5p",16.2899221205578,12.4206194069264,12.6094148316928,4.59139002398703e-28,1.98441433240118e-26,49.8733415261362
"hsa-miR-1285-3p",16.7338353151147,13.0083326363636,12.5925503098986,5.21073445055004e-28,2.21456214148377e-26,49.7597226781821
"hsa-miR-4479",15.1113182773279,12.5385684329004,12.5816481728147,5.65480882906741e-28,2.32684184941348e-26,49.6862815925174
"hsa-miR-4726-3p",16.2236751878093,11.7866968095238,12.5815866430642,5.65741939857396e-28,2.32684184941348e-26,49.6858671224946
"hsa-miR-338-5p",12.9653522975709,10.4389034761905,12.5707854054981,6.13484161193417e-28,2.48315017625907e-26,49.6131122545853
"hsa-miR-194-3p",14.7323537336932,10.8229128874459,12.5611878752488,6.59269307583846e-28,2.60462332892891e-26,49.5484707729295
"hsa-miR-5698",44.8814254984255,29.1805611385281,12.5602497622404,6.63923593648544e-28,2.60462332892891e-26,49.5421526528398
"hsa-miR-4433b-5p",17.2333773011696,14.657360952381,12.5085090340253,9.78509448918424e-28,3.780604689003e-26,49.1937608444746
"hsa-miR-558",13.3653805112461,10.8750681688312,12.5040084690059,1.01207155036515e-27,3.8519141095987e-26,49.163464047922
"hsa-miR-1324",11.9935150213675,9.79983264502165,12.4958678977258,1.07572358612289e-27,4.03396344796085e-26,49.1086666004993
"hsa-miR-3122",21.4319146502474,16.0114839090909,12.4881530470478,1.1397300819915e-27,4.21204595518597e-26,49.0567385042333
"hsa-miR-219a-1-3p",12.7849572928475,10.6259080952381,12.4346541331454,1.70133840768707e-27,6.19773277086003e-26,48.6967410724817
"hsa-miR-509-3p",11.8804556756635,10.914691969697,12.4167842735684,1.94480655260239e-27,6.98486860441703e-26,48.5765334770404
"hsa-miR-551a",15.0830679761583,11.2959375844156,12.3801115047613,2.55877455793413e-27,8.95957329480372e-26,48.3299061024789
"hsa-miR-10a-3p",13.9066387955466,10.9751642207792,12.3797919535056,2.56489745302224e-27,8.95957329480372e-26,48.3277574797879
"hsa-miR-4767",14.4177393421053,12.8051536796537,12.3687734838885,2.78520819977038e-27,9.59767690461416e-26,48.2536747970796
"hsa-miR-508-5p",15.4923373648223,13.6732523809524,12.3565990047012,3.05065434822156e-27,1.03722247839533e-25,48.1718290763312
"hsa-miR-939-3p",17.232219282951,15.4910658008658,12.3267146152774,3.81423957298609e-27,1.27977775146244e-25,47.9709668400546
"hsa-miR-4756-5p",14.9332865067476,13.5699448831169,12.308523637199,4.36958341165673e-27,1.44706983113307e-25,47.8487296212381
"hsa-miR-3198",14.0764190969411,11.2533730865801,12.300055727039,4.6549363192162e-27,1.52180610435914e-25,47.7918359827504
"hsa-miR-3607-5p",11.9953181983806,9.99753237229437,12.2898354572012,5.02421257092126e-27,1.62173950074041e-25,47.7231754130971
"hsa-miR-4529-5p",14.1580022789024,11.9184146753247,12.265186914899,6.0395560069321e-27,1.91616625117484e-25,47.5576151054667
"hsa-miR-6859-3p",21.6404693439046,14.9869884545455,12.2641466344191,6.08664573902596e-27,1.91616625117484e-25,47.5506286659355
"hsa-miR-4436b-5p",26.1819223834908,17.4439643852814,12.2455460045371,6.99325392030275e-27,2.16236417531469e-25,47.4257215801168
"hsa-miR-377-5p",12.3817740458839,10.707723030303,12.2446860473539,7.03828339416154e-27,2.16236417531469e-25,47.4199473989459
"hsa-miR-1537-3p",10.9137162006298,10.6678818961039,12.2052780964328,9.44411314844569e-27,2.86696292006387e-25,47.155401428407
"hsa-miR-555",12.0439396394512,10.9507006147186,12.2027567303404,9.62339715314934e-27,2.8870191459448e-25,47.138479421461
"hsa-miR-130b-5p",12.598620062978,11.2536401298701,12.1999388772356,9.82778433146622e-27,2.91405233084173e-25,47.1195681267304
"hsa-miR-449c-3p",13.2267488639226,11.0205980519481,12.1921819987108,1.04130618834011e-26,3.0521043451348e-25,47.0675129435082
"hsa-miR-4531",12.3173082042285,10.4055826580087,12.1759448722921,1.17532091780397e-26,3.40575947772742e-25,46.9585630147908
"hsa-miR-4793-5p",13.835187742915,10.8038937792208,12.1657801812603,1.2678382665653e-26,3.6008290703306e-25,46.8903689996285
"hsa-miR-218-2-3p",12.2906813245614,10.67402495671,12.1654586071649,1.27088084835198e-26,3.6008290703306e-25,46.888211717866
"hsa-miR-378d",13.4360655296896,10.4606286190476,12.1540286924001,1.38388937750738e-26,3.87793177213605e-25,46.811539289492
"hsa-miR-550a-5p",27.8894722031039,21.1244653160173,12.1416747800376,1.51733227890665e-26,4.20564925131733e-25,46.7286801327578
"hsa-miR-3201",12.1104222863248,9.37291574891775,12.1346845146313,1.59844850361524e-26,4.38284267120307e-25,46.6818009204837
"hsa-miR-30d-5p",15.1176067701305,13.5366126277056,12.1308126129639,1.64522596239399e-26,4.46311298309007e-25,46.6558362334023
"hsa-miR-1279",12.5521297667566,9.61391064935065,12.117043766891,1.82291194189837e-26,4.85766534338288e-25,46.5635130444346
"hsa-miR-1199-5p",19.2099789748088,15.9452359264069,12.1166131056651,1.82876812927355e-26,4.85766534338288e-25,46.5606256093747
"hsa-miR-1255b-5p",11.5910683304094,9.90042329004329,12.095640360743,2.13787123886225e-26,5.62017696814303e-25,46.4200286916142
"hsa-miR-4781-3p",12.611868457265,9.75905431168831,12.0913042525138,2.2080089977578e-26,5.73471416781125e-25,46.3909647773892
"hsa-miR-6841-3p",14.1492770908682,12.5363574242424,12.0901888941279,2.22641844162084e-26,5.73471416781125e-25,46.3834890405249
"hsa-miR-548w",11.7553933079172,10.4431107012987,12.0882526848284,2.25874074492658e-26,5.75978889956277e-25,46.3705117572279
"hsa-miR-23c",12.1307469417454,11.2711438268398,12.043958404318,3.14056652457574e-26,7.92915310660211e-25,46.0737176366261
"hsa-miR-602",16.9621219154296,14.7027645714286,12.0404921289782,3.22258894617071e-26,8.03116200543163e-25,46.0504987559796
"hsa-miR-1277-3p",12.2299990537562,10.3201946753247,12.039603456594,3.24395955513513e-26,8.03116200543163e-25,46.0445461385131
"hsa-miR-101-5p",13.3458823430049,11.052085034632,12.0289743486717,3.51079279426339e-26,8.60819387054966e-25,45.9733540976942
"hsa-miR-539-5p",13.2855925155196,10.7678019004329,12.0218055494286,3.7030128936208e-26,8.99303131307907e-25,45.9253440753257
"hsa-miR-4423-3p",12.6524569403959,8.96953260606061,12.0066674240648,4.1441037521445e-26,9.96930619619667e-25,45.8239773200138
"hsa-miR-4707-3p",43.7659208434548,27.1035094848485,11.9668712492296,5.56998291656193e-26,1.32742583525541e-24,45.5575922640039
"hsa-miR-5091",13.019113739991,10.4509937099567,11.9647726839303,5.65748481576841e-26,1.33579502594532e-24,45.5435488933237
"hsa-miR-3688-5p",13.2788282532614,10.4671910735931,11.9609663959345,5.81970568636675e-26,1.36149077983809e-24,45.5180786271606
"hsa-miR-3173-3p",16.1454486210076,12.9351363333333,11.9494913237251,6.33738359953784e-26,1.46355715842865e-24,45.4412995275247
"hsa-miR-1245b-3p",11.6856907993702,9.644779,11.9487835306809,6.37077821904234e-26,1.46355715842865e-24,45.4365641078254
"hsa-miR-424-3p",13.1933096430499,11.3703859177489,11.9416236983861,6.7186161927219e-26,1.52968493673579e-24,45.3886644867218
"hsa-miR-4781-5p",13.6354297735043,10.5888108051948,11.9076948583441,8.64258664264862e-26,1.94485880667375e-24,45.1617421454192
"hsa-miR-3610",19.3678539529914,14.8835064285714,11.9068851819314,8.69466290042383e-26,1.94485880667375e-24,45.1563281670952
"hsa-miR-4262",13.2228477226721,10.5491643246753,11.9002959957728,9.13026729013844e-26,2.02453752955244e-24,45.1122711972058
