"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-miR-4673",29.6945450434783,17.069097026087,16.8436316032892,5.7354327708494e-42,1.4625353565666e-38,78.1930046364187
"hsa-miR-342-5p",19.7548346521739,10.957901126087,16.3667849524243,2.11366673830773e-40,2.62835267330827e-37,75.0433876031395
"hsa-miR-135a-3p",56.6630506869565,32.9561077,16.3165630788353,3.09217961565678e-40,2.62835267330827e-37,74.7104795299079
"hsa-miR-320d",16.521082173913,8.38531466086956,15.8087744584053,1.45536260562521e-38,9.27793661086073e-36,71.3329656623008
"hsa-miR-299-5p",17.8526693652174,12.0198883,15.6228616489118,5.97248435550812e-38,3.04596702130914e-35,70.0915641658051
"hsa-miR-422a",39.0601836956522,26.2855722130435,15.4989479598979,1.53114351410613e-37,6.50735993495107e-35,69.2628618842516
"hsa-miR-6763-3p",20.3020649304348,15.1012901347826,15.340556711884,5.10251629927272e-37,1.85877379473506e-34,68.2021826165694
"hsa-miR-3646",21.5659954782609,13.0377596434783,15.2393370483199,1.10134333768431e-36,3.51053188886874e-34,67.5235849693589
"hsa-miR-718",36.5894380347826,23.3888683913043,15.0589906698811,4.33851140668806e-36,1.13142475360461e-33,66.3131282283522
"hsa-miR-548g-3p",13.5713949826087,10.9118523347826,15.0560392050971,4.43695981805728e-36,1.13142475360461e-33,66.2933045981985
"hsa-miR-3614-5p",22.5659472695652,13.1871933913043,14.9497837396582,9.951913743777e-36,2.12515321669294e-33,65.5793563955373
"hsa-miR-517c-3p",14.0536491652174,10.4665437130435,14.9491402115174,1.00007210197315e-35,2.12515321669294e-33,65.5750308089366
"hsa-miR-296-3p",24.2200299043478,18.9085580478261,14.8218223443874,2.63256478065078e-35,5.16387706973807e-33,64.7188805449651
"hsa-miR-151a-5p",13.8383311478261,10.494467226087,14.799887095123,3.11025491809974e-35,5.66510717225309e-33,64.5713069471944
"hsa-miR-29b-1-5p",15.4238087826087,9.03265970434783,14.766188845174,4.01831769153723e-35,6.52862942902297e-33,64.3445574801181
"hsa-miR-339-3p",14.7063505565217,10.9072770956522,14.7636572092545,4.09639493585755e-35,6.52862942902297e-33,64.327520727171
"hsa-miR-1910-5p",22.2087088434783,13.4300051956522,14.7252613165742,5.48470264768355e-35,8.22705397152532e-33,64.0691032362567
"hsa-miR-3136-5p",14.7062280869565,9.86066501739131,14.5987535399832,1.43459005170739e-34,2.03233590658547e-32,63.2172756382212
"hsa-miR-499a-5p",13.6189906956522,10.8160868,14.53413429071,2.34415253714341e-34,3.1460994577451e-32,62.7819558502392
"hsa-miR-3180-5p",18.0780193217391,13.8089792173913,14.5266748450319,2.48085778149359e-34,3.16309367140432e-32,62.7316952690475
"hsa-miR-518d-3p",13.6213594347826,11.2846583434783,14.4273805361649,5.27508653956691e-34,6.40546222661696e-32,62.0625068087009
"hsa-miR-4767",16.0041173913044,12.2642775391304,14.4018370483378,6.40469396318932e-34,7.38376357633446e-32,61.8903126629735
"hsa-miR-18b-3p",16.7230601478261,11.4225143869565,14.3930849107534,6.84495484188233e-34,7.38376357633446e-32,61.8313086089738
"hsa-miR-1471",16.0910929391304,11.7707417304348,14.3910907891987,6.94942454243243e-34,7.38376357633446e-32,61.8178646109072
"hsa-miR-150-3p",34.2575017913043,21.7029799652174,14.3559078654944,9.07830595090952e-34,9.25987206992771e-32,61.5806510396524
"hsa-miR-4260",18.4155184521739,13.158618626087,14.306057180377,1.32563230238147e-33,1.30013937348952e-31,61.2444909178156
